CNA Short Name,CVEs,CNA Cost
CyberArk,2,$199.20
Delinea,2,$199.20
JAMF,2,$199.20
Cybellum,2,$199.20
TXOne,2,$199.20
Profelis,2,$199.20
libreswan,2,$199.20
TQtC,1,$99.60
TPLink,1,$99.60
DeepSurface,1,$99.60
Ciena,1,$99.60
alibaba,1,$99.60
WindRiver,1,$99.60
iManage,1,$99.60
BECLS,1,$99.60
EA,1,$99.60
CrowdStrike,1,$99.60
ATIS,1,$99.60
ELAN,1,$99.60
Gitea,1,$99.60
ICT,1,$99.60
9front,1,$99.60
FSI,1,$99.60
Wiz,1,$99.60
Illumio,1,$99.60
B.Braun,1,$99.60
GreenRocketSecurity,1,$99.60
Roche,1,$99.60
OpenCloudOS,1,$99.60
MIM,1,$99.60
seal,1,$99.60
NX,1,$99.60
securin,1,$99.60
EDB,1,$99.60
tlt_net,1,$99.60
